movie_name,release_date,earning
Avatar,2009,"$2,923,706,026"
Avengers: Endgame,2019,"$2,799,439,100"
Titanic,1997,"$2,194,690,964"
Star Wars: Episode VII - The Force Awakens,2015,"$2,071,310,218"
Avengers: Infinity War,2018,"$2,052,415,039"
Avatar: The Way of Water,2022,"$1,930,116,607"
Spider-Man: No Way Home,2021,"$1,921,847,111"
Jurassic World,2015,"$1,671,537,444"
The Lion King,2019,"$1,663,075,401"
The Avengers,2012,"$1,520,538,536"
Furious 7,2015,"$1,515,341,399"
Top Gun: Maverick,2022,"$1,488,732,821"
Frozen II,2019,"$1,453,683,476"
Avengers: Age of Ultron,2015,"$1,405,018,048"
Black Panther,2018,"$1,349,926,083"
Harry Potter and the Deathly Hallows: Part 2,2011,"$1,342,359,942"
Star Wars: Episode VIII - The Last Jedi,2017,"$1,334,407,706"
Jurassic World: Fallen Kingdom,2018,"$1,310,466,296"
Frozen,2013,"$1,284,540,518"
Beauty and the Beast,2017,"$1,266,115,964"
Incredibles 2,2018,"$1,243,225,667"
The Fate of the Furious,2017,"$1,236,005,118"
Iron Man 3,2013,"$1,215,577,205"
Minions,2015,"$1,159,444,662"
Captain America: Civil War,2016,"$1,155,046,416"
Aquaman,2018,"$1,148,528,393"
The Lord of the Rings: The Return of the King,2003,"$1,146,457,748"
Spider-Man: Far from Home,2019,"$1,131,927,996"
Captain Marvel,2019,"$1,131,416,446"
Transformers: Dark of the Moon,2011,"$1,123,794,079"
Jurassic Park,1993,"$1,109,802,321"
Skyfall,2012,"$1,108,569,499"
Transformers: Age of Extinction,2014,"$1,104,054,072"
The Dark Knight Rises,2012,"$1,081,169,825"
Star Wars: Episode IX - The Rise of Skywalker,2019,"$1,077,022,372"
Joker,2019,"$1,074,458,282"
Toy Story 4,2019,"$1,073,841,394"
Toy Story 3,2010,"$1,067,316,101"
Pirates of the Caribbean: Dead Man's Chest,2006,"$1,066,179,747"
Rogue One: A Star Wars Story,2016,"$1,058,682,142"
Aladdin,2019,"$1,054,304,000"
Pirates of the Caribbean: On Stranger Tides,2011,"$1,046,721,266"
Despicable Me 3,2017,"$1,034,800,131"
Finding Dory,2016,"$1,029,266,989"
Star Wars: Episode I - The Phantom Menace,1999,"$1,027,082,707"
Zootopia,2016,"$1,025,521,689"
Alice in Wonderland,2010,"$1,025,468,216"
Harry Potter and the Sorcerer's Stone,2001,"$1,023,842,938"
The Hobbit: An Unexpected Journey,2012,"$1,017,030,651"
The Dark Knight,2008,"$1,006,234,167"
Jurassic World: Dominion,2022,"$1,001,978,080"
Jumanji: Welcome to the Jungle,2017,"$995,339,117"
Harry Potter and the Deathly Hallows: Part 1,2010,"$977,070,383"
Despicable Me 2,2013,"$970,766,005"
The Lion King,1994,"$968,511,805"
The Jungle Book,2016,"$967,724,775"
The Hobbit: The Battle of the Five Armies,2014,"$962,201,338"
Pirates of the Caribbean: At World's End,2007,"$961,691,209"
The Hobbit: The Desolation of Smaug,2013,"$959,027,992"
Doctor Strange in the Multiverse of Madness,2022,"$955,775,804"
The Lord of the Rings: The Two Towers,2002,"$947,944,270"
Harry Potter and the Order of the Phoenix,2007,"$942,278,045"
Finding Nemo,2003,"$941,637,960"
Minions: The Rise of Gru,2022,"$939,628,210"
Harry Potter and the Half-Blood Prince,2009,"$934,504,700"
Shrek 2,2004,"$928,760,770"
Harry Potter and the Chamber of Secrets,2002,"$925,054,421"
Bohemian Rhapsody,2018,"$910,809,311"
The Battle at Lake Changjin,2021,"$902,548,476"
The Lord of the Rings: The Fellowship of the Ring,2001,"$898,204,420"
Harry Potter and the Goblet of Fire,2005,"$896,815,106"
Spider-Man 3,2007,"$894,983,373"
The Secret Life of Pets,2016,"$894,328,469"
Ice Age: Dawn of the Dinosaurs,2009,"$886,686,817"
Spectre,2015,"$880,705,312"
Spider-Man: Homecoming,2017,"$880,166,924"
Ice Age: Continental Drift,2012,"$877,244,782"
Batman v Superman: Dawn of Justice,2016,"$873,637,528"
Wolf Warrior 2,2017,"$870,325,439"
Star Wars: Episode III - Revenge of the Sith,2005,"$868,390,560"
The Hunger Games: Catching Fire,2013,"$865,011,746"
Guardians of the Galaxy Vol. 2,2017,"$863,756,051"
Inside Out,2015,"$858,848,019"
Venom,2018,"$856,085,151"
Thor: Ragnarok,2017,"$855,301,806"
The Twilight Saga: Breaking Dawn - Part 2,2012,"$848,853,382"
Black Panther: Wakanda Forever,2022,"$837,646,310"
Inception,2010,"$836,848,102"
Transformers: Revenge of the Fallen,2009,"$836,303,693"
Spider-Man,2002,"$825,025,036"
Wonder Woman,2017,"$822,854,286"
"Hi, Mom",2021,"$822,009,764"
Independence Day,1996,"$817,400,891"
Coco,2017,"$814,337,054"
Fantastic Beasts and Where to Find Them,2016,"$814,044,001"
Shrek the Third,2007,"$813,367,380"
Jumanji: The Next Level,2019,"$801,693,929"
Harry Potter and the Prisoner of Azkaban,2004,"$797,660,766"
Pirates of the Caribbean: Dead Men Tell No Tales,2017,"$795,922,298"
E.T. the Extra-Terrestrial,1982,"$792,910,554"
Mission: Impossible - Fallout,2018,"$791,657,398"
2012,2009,"$791,217,826"
Indiana Jones and the Kingdom of the Crystal Skull,2008,"$790,653,942"
Spider-Man 2,2004,"$788,976,453"
Fast & Furious 6,2013,"$788,680,968"
Deadpool 2,2018,"$785,896,609"
Deadpool,2016,"$782,836,791"
Star Wars: Episode IV - A New Hope,1977,"$775,398,007"
No Time to Die,2021,"$774,153,007"
Interstellar,2014,"$773,867,216"
Guardians of the Galaxy,2014,"$773,350,147"
The Batman,2022,"$770,945,583"
Thor: Love and Thunder,2022,"$760,928,081"
Fast & Furious Presents: Hobbs & Shaw,2019,"$760,732,926"
The Da Vinci Code,2006,"$760,006,945"
Maleficent,2014,"$759,853,685"
The Amazing Spider-Man,2012,"$757,930,663"
The Hunger Games: Mockingjay - Part 1,2014,"$755,356,711"
Shrek Forever After,2010,"$752,600,867"
Gravity,2013,"$748,049,949"
Madagascar 3: Europe's Most Wanted,2012,"$746,921,274"
Suicide Squad,2016,"$746,846,894"
X-Men: Days of Future Past,2014,"$746,045,700"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,"$745,013,115"
Monsters University,2013,"$743,559,645"
The Matrix Reloaded,2003,"$741,847,937"
Up,2009,"$735,099,102"
Ne Zha,2019,"$726,264,074"
F9: The Fast Saga,2021,"$726,229,501"
Captain America: The Winter Soldier,2014,"$714,421,503"
The Twilight Saga: Breaking Dawn - Part 1,2011,"$712,205,856"
The Twilight Saga: New Moon,2009,"$711,025,481"
Dawn of the Planet of the Apes,2014,"$710,644,566"
Transformers,2007,"$709,709,780"
The Amazing Spider-Man 2,2014,"$708,982,323"
It,2017,"$701,842,551"
The Wandering Earth,2019,"$699,992,512"
The Twilight Saga: Eclipse,2010,"$698,509,825"
Mission: Impossible - Ghost Protocol,2011,"$694,713,380"
Mamma Mia!,2008,"$694,476,782"
The Hunger Games,2012,"$694,394,724"
Detective Chinatown 3,2021,"$686,257,563"
Mission: Impossible - Rogue Nation,2015,"$682,716,636"
Forrest Gump,1994,"$678,226,465"
Doctor Strange,2016,"$677,796,076"
The Sixth Sense,1999,"$672,806,432"
Man of Steel,2013,"$668,045,518"
Ice Age: The Meltdown,2006,"$667,094,506"
Kung Fu Panda 2,2011,"$665,692,281"
Moana,2016,"$665,069,139"
Justice League,2017,"$657,926,987"
Big Hero 6,2014,"$657,869,686"
Fantastic Beasts: The Crimes of Grindelwald,2018,"$654,855,901"
Pirates of the Caribbean: The Curse of the Black Pearl,2003,"$654,264,015"
Men in Black 3,2012,"$654,213,485"
Star Wars: Episode II - Attack of the Clones,2002,"$653,779,970"
The Hunger Games: Mockingjay - Part 2,2015,"$653,428,261"
Thor: The Dark World,2013,"$644,783,140"
Sing,2016,"$634,338,384"
Kung Fu Panda,2008,"$632,083,197"
The Incredibles,2004,"$631,607,053"
The Martian,2015,"$630,620,818"
Hancock,2008,"$629,443,428"
Water Gate Bridge,2022,"$626,571,697"
Fast Five,2011,"$626,137,675"
Iron Man 2,2010,"$623,933,331"
Ratatouille,2007,"$623,726,085"
Ant-Man and the Wasp,2018,"$622,674,139"
